Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_34_285.jpg;0;1;0;2.903725;94.02024;82.00778;0.04898975;191.0582;359.0006
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_34_325.jpg;0;1;0;2.930598;93.90401;81.98464;0.1389506;190.9937;359.0898
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_34_368.jpg;0;1;0;2.957237;93.78632;81.96149;0.2494122;190.9723;359.1813
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_34_409.jpg;0;1;0;2.983822;93.66725;81.93818;0.378814;190.968;359.277
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_34_451.jpg;1.568615;1;0;3.009682;93.54695;81.9144;0.5210278;190.9997;359.3844
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_34_492.jpg;3.43787;1;0;3.036403;93.42555;81.8895;0.6755915;191.1498;359.5133
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_34_534.jpg;5.301018;1;0;3.061792;93.30319;81.86305;0.8425367;191.4678;359.6668
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_34_576.jpg;7.166088;1;0;3.086496;93.18003;81.83465;1.020067;191.9766;359.8488
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_34_618.jpg;8.453344;1;0;3.111315;92.9945;81.78888;1.26836;193.0537;0.1188296
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_34_659.jpg;6.585183;1;0;3.135687;92.87106;81.758;1.358702;193.8114;0.2271578
